Designator,Mid X,Mid Y,Rotation,Layer
C1,127.75,-70.32,0.0,top
C10,126.4,-68.22,270.0,top
C11,127.4,-76.02,270.0,top
C13,126.35,-73.47,270.0,top
C14,135.16,-76.74,0.0,top
C15,131.5,-73.42,270.0,top
C16,133.06,-75.88,180.0,top
C17,133.2,-76.76,180.0,top
C18,130.4,-76.02,270.0,top
C19,134.6,-73.82,180.0,top
C2,126.35,-72.07,90.0,top
C20,134.24,-70.82,180.0,top
C21,133.9,-72.82,180.0,top
C22,137.2,-68.42,0.0,top
C26,137.2165,-75.262,180.0,top
C27,137.1965,-72.862,0.0,top
C3,137.2,-69.12,0.0,top
C4,129.15,-70.32,0.0,top
C5,130.2,-69.92,90.0,top
C6,135.66,-69.52,180.0,top
C7,129.68,-76.02,270.0,top
C8,128.1,-76.02,270.0,top
C9,131.5,-71.78,90.0,top
D1,125.8,-60.7,0.0,top
D2,134.2,-69.24,180.0,top
D3,135.65,-67.82,180.0,top
D4,138.1,-61.3,180.0,top
D5,132.5,-66.84,180.0,top
D6,131.58,-66.84,0.0,top
D7,126.84,-76.98,180.0,top
D8,136.6147,-66.9,0.0,top
J1,132.03,-61.925,180.0,top
L1,133.7,-74.92,180.0,top
L3,134.95,-71.72,180.0,top
Q1,135.66,-70.32,270.0,top
Q2,135.65,-68.82,270.0,top
R1,138.1,-60.4,0.0,top
R11,130.2,-68.32,90.0,top
R12,137.7,-71.862,90.0,top
R13,137.1965,-73.662,180.0,top
R14,137.1965,-74.462,0.0,top
R15,136.0,-73.87,90.0,top
R16,137.22,-67.72,180.0,top
R19,134.6,-68.07,90.0,top
R2,131.9,-76.02,90.0,top
R20,134.22,-70.12,0.0,top
R3,126.4,-69.98,270.0,top
R4,131.2,-76.02,90.0,top
R5,133.86,-68.07,90.0,top
R6,135.8,-75.9,180.0,top
R7,137.2,-69.82,180.0,top
R8,126.62,-76.02,270.0,top
SW1,136.064,-79.0714,0.0,top
SW2,127.936,-79.0714,0.0,top
TP1,133.28,-61.16,270.0,bottom
TP10,133.06,-75.54,90.0,bottom
TP2,130.74,-61.16,270.0,bottom
TP3,133.28,-63.7,270.0,bottom
TP4,130.74,-63.7,270.0,bottom
TP5,133.28,-66.24,270.0,bottom
TP6,130.74,-66.24,270.0,bottom
TP7,133.28,-68.8,270.0,bottom
TP8,130.74,-68.7,270.0,bottom
TP9,131.06,-75.56,270.0,bottom
U1,129.000001,-73.02,270.0,top
U2,133.04,-70.58,90.0,top
U3,134.5,-75.87,90.0,top
U4,132.0,-69.90595,90.0,top
U5,132.03,-68.62,0.0,top
U7,137.1965,-70.662,90.0,top
U8,136.9,-71.862,90.0,top
U9,135.61,-72.745,90.0,top
Y2,128.28,-68.66,0.0,top
